,blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
0,16620256,0.0,0.0,0.0,0.0,0x23878914efe38d27c4d67ab83ed1b93a74d4086a,USDT,Aave Ethereum USDT,Aave v3,1676296343,0.0,0.0,0.0,,
1,16620386,0.0,198.02376,0.0,0.0,0x23878914efe38d27c4d67ab83ed1b93a74d4086a,USDT,Aave Ethereum USDT,Aave v3,1676297903,0.0,198.02376,198.02376,0.0,5.0
2,16620690,198.02376,0.0,0.0,0.0,0x23878914efe38d27c4d67ab83ed1b93a74d4086a,USDT,Aave Ethereum USDT,Aave v3,1676301575,198.02376,198.02376,198.02376,68.4,81.0
3,16621155,0.0,250030.0,0.0,250030.0,0x23878914efe38d27c4d67ab83ed1b93a74d4086a,USDT,Aave Ethereum USDT,Aave v3,1676307227,198.05033418852,198.04767486944,198.04767486944,68.4,81.0
4,16621385,0.0,5468.04609380084,0.0,0.0,0x23878914efe38d27c4d67ab83ed1b93a74d4086a,USDT,Aave Ethereum USDT,Aave v3,1676310023,198.06367878968,5666.10577811124,5666.10577811124,0.0048876455745722,5.1553593298000235
5,16621771,5000.6,0.0,5000.61042425076,0.0,0x23878914efe38d27c4d67ab83ed1b93a74d4086a,USDT,Aave Ethereum USDT,Aave v3,1676314691,198.06413384428,5666.11556928604,5666.11556928604,0.0048876492642548,5.155359388440373
6,16622381,400.204336,0.0,0.0,0.0,0x23878914efe38d27c4d67ab83ed1b93a74d4086a,USDT,Aave Ethereum USDT,Aave v3,1676322047,598.3459429783696,5668.329913214877,5668.329913214877,0.0445711329608431,5.469152811246464
7,16624432,1091.2021811101902,2.00102168,0.0,0.0,0x23878914efe38d27c4d67ab83ed1b93a74d4086a,USDT,Aave Ethereum USDT,Aave v3,1676346743,1689.5518419868413,5670.334280603126,5670.334280603126,0.3551279660599792,6.324280314326796
8,16624492,10.0051084,0.0,0.0,0.0,0x23878914efe38d27c4d67ab83ed1b93a74d4086a,USDT,Aave Ethereum USDT,Aave v3,1676347463,1699.5574616478805,5670.334740838112,5670.334740838112,0.3593465308603119,6.332122655644199
9,16625130,0.0,1.00051084,0.0,0.0,0x23878914efe38d27c4d67ab83ed1b93a74d4086a,USDT,Aave Ethereum USDT,Aave v3,1676355191,1699.5630094804883,5671.340244227204,5671.340244227204,0.3592213960428629,6.331890693700033
